114	146	7
566	586	0
547	561	8
573	609	18
88	106	13
200	210	10
237	271	8
327	347	1
160	194	0
479	513	11
183	195	7
477	509	3
133	157	11
394	404	6
326	340	10
184	194	11
116	148	3
342	370	14
172	196	10
457	495	4
108	136	13
341	361	12
318	332	16
409	425	13
135	173	0
297	331	6
373	403	10
87	105	9
505	537	8
271	299	3
464	492	12
339	369	11
85	103	6
80	104	11
577	603	17
194	218	6
172	188	5
584	610	5
111	121	14
304	316	4
520	546	5
289	305	8
105	125	17
155	181	7
357	391	13
514	540	11
424	454	6
197	207	11
132	160	8
507	527	2
374	408	5
213	243	5
314	334	5
318	334	7
110	122	1
471	483	0
220	252	8
591	617	4
82	108	9
523	539	11
431	457	6
269	293	3
616	654	6
606	642	5
355	369	9
238	248	8
528	554	2
314	336	9
436	448	5
565	587	17
407	445	18
155	171	18
420	440	15
412	448	4
307	319	6
542	576	12
133	163	12
99	113	1
268	298	5
576	600	10
351	383	5
506	538	9
184	200	3
118	142	3
73	103	7
214	242	6
483	521	3
137	169	5
277	299	9
308	344	14
451	463	17
254	268	11
151	167	10
403	425	1
43	65	1
322	358	7
113	149	2
579	597	7
554	584	6
134	162	4

