588	604	6
517	545	6
649	661	1
474	506	13
274	300	7
297	319	6
119	135	5
517	535	3
681	693	0
651	669	3
546	564	2
697	723	3
629	643	15
234	252	12
631	657	8
693	713	14
617	635	5
390	400	8
362	376	10
83	111	2
186	196	9
316	336	10
475	501	3
609	641	8
375	389	3
698	726	8
337	355	1
407	431	1
174	198	15
449	487	0
342	380	9
97	115	12
101	127	7
141	175	12
621	659	9
613	631	4
398	408	6
114	152	0
192	214	11
230	246	15
404	442	12
245	269	5
601	627	2
205	215	7
549	583	12
576	608	1
628	652	4
136	158	5
253	267	7
184	202	13
645	683	5
150	186	5
375	391	10
117	131	7
408	418	11
495	505	15
337	353	2
505	517	4
584	620	12
252	268	9
150	162	10
533	549	1
287	297	1
225	235	3
159	189	12
301	339	4
96	122	0
271	287	0
712	722	1
709	729	6
598	616	6
154	174	4
288	308	0
675	711	6
210	240	10
464	474	8
528	562	10
152	180	12
547	561	4
165	183	9
313	323	9
226	250	14
561	583	11
276	296	7
584	620	0
225	257	8
542	576	4
654	692	2
211	225	3
494	506	7
703	727	2
142	162	1
112	150	8
55	75	9
545	555	14
188	222	3
119	141	11
416	428	7
386	418	10
613	643	9
538	558	12
346	376	18
122	158	2
443	465	7
126	158	11
564	584	7
149	173	11
173	189	4
534	566	3
584	608	13
539	557	3
153	183	2
666	680	6
623	641	10
148	174	19
344	380	5
578	600	8
397	431	15
680	706	13
516	538	0
308	324	3
415	443	9
586	606	4
668	702	2
312	334	10
608	636	6
328	364	0
84	114	8
185	213	8
367	405	4
287	321	10
119	139	10
353	365	1
259	297	9
628	662	6
118	148	10
186	206	3
299	311	9
541	577	2
368	382	9
191	201	3
616	642	10
218	242	11
361	399	13
242	278	8
640	654	4
325	347	3
601	629	15
344	370	5
448	486	12
178	194	7
611	633	1
92	118	7
238	268	10
45	75	0
569	591	7
494	516	6
215	229	2
462	472	10
599	627	7
542	574	3
536	574	14
343	379	3
145	173	8
624	660	2
513	545	6
618	634	3
87	109	11
113	137	2
417	447	12
384	418	0
728	756	11
357	395	13
343	369	0
637	651	3
244	272	5
272	300	1
68	88	6
48	80	8
628	664	8
415	453	11
103	141	17
416	446	16
298	314	8
395	405	0
336	350	8
704	728	5
264	298	5
207	231	0
372	410	3
142	180	1
190	216	1
663	675	8
669	691	11
648	678	0
566	600	8
346	370	5
635	657	0
166	182	7
92	108	4

